Emotion,Pleasure,Arousal,Dominance,Mood,Intensity,EmotionPleasure,EmotionArousal,EmotionDominance
None,0.419,0.343,0.268,Exuberant,moderate
joy,0.452364,0.359682,0.276341,Exuberant,moderate,0.4,0.2,0.1
satisfaction,0.668564,0.499643,0.306495,Exuberant,moderate,0.469136,0.303704,0.0654321
hope,0.914985,0.664363,0.331445,Exuberant,fully,0.410334,0.281046,0.0292877
resentment,1,0.853841,0.351191,Exuberant,fully,0.410334,0.281046,0.0292877
reproach,1,1,0.370936,Exuberant,fully,0.410334,0.281046,0.0292877
shame,1,1,0.420739,Exuberant,fully,0.189474,0.313307,0.0157481
liking,1,1,0.472173,Exuberant,fully,0.210251,0.273209,0.0503843
pride,1,1,0.556402,Exuberant,fully,0.210251,0.273209,0.0503843
reproach,1,1,0.649206,Exuberant,fully,0.180863,0.285561,0.0609528
